,list_ID,common_name,scientific_name,date,time,count,duration,location,latitude,longitude,count_tot,month,year
6463,S16772002,Northern Cardinal,Cardinalis cardinalis,2/2/2014,3:30 PM,1,25,US-MO,38.5592405,-90.2424502,29,2,2014
6547,S56762852,Indigo Bunting,Passerina cyanea,5/25/2019,11:55 AM,1,116,US-OK,36.182195,-96.2300591,29,5,2019
6,S35861224,Snow Goose,Anser caerulescens,4/10/2017,6:06 PM,1,68,US-MO,38.6389068,-90.2853806,28,4,2017
242,S35861224,Blue-winged Teal,Spatula discors,4/10/2017,6:06 PM,2,68,US-MO,38.6389068,-90.2853806,28,4,2017
388,S35861224,Mallard,Anas platyrhynchos,4/10/2017,6:06 PM,2,68,US-MO,38.6389068,-90.2853806,28,4,2017
770,S35861224,Mourning Dove,Zenaida macroura,4/10/2017,6:06 PM,2,68,US-MO,38.6389068,-90.2853806,28,4,2017
977,S35861224,Sora,Porzana carolina,4/10/2017,6:06 PM,1,68,US-MO,38.6389068,-90.2853806,28,4,2017
988,S35861224,American Coot,Fulica americana,4/10/2017,6:06 PM,1,68,US-MO,38.6389068,-90.2853806,28,4,2017
1021,S89277212,Killdeer,Charadrius vociferus,5/30/2021,10:49 AM,1,26,US-OK,35.6247298,-99.2497676,28,5,2021
1038,S45195604,Killdeer,Charadrius vociferus,5/2/2018,7:16 PM,1,28,US-MO,38.6219912,-90.275188,28,5,2018
1309,S89277212,Great Blue Heron,Ardea herodias,5/30/2021,10:49 AM,1,26,US-OK,35.6247298,-99.2497676,28,5,2021
1369,S49032262,Great Blue Heron,Ardea herodias,10/7/2018,12:30 PM,1,60,US-MO,38.6383932,-90.267979,28,10,2018
1427,S35861224,Great Egret,Ardea alba,4/10/2017,6:06 PM,2,68,US-MO,38.6389068,-90.2853806,28,4,2017
1486,S49032262,Little Blue Heron,Egretta caerulea,10/7/2018,12:30 PM,1,60,US-MO,38.6383932,-90.267979,28,10,2018
1595,S66184860,Turkey Vulture,Cathartes aura,3/21/2020,4:36 PM,5,37,US-OK,36.0351169,-94.8112393,28,3,2020
1756,S49032262,Bald Eagle,Haliaeetus leucocephalus,10/7/2018,12:30 PM,1,60,US-MO,38.6383932,-90.267979,28,10,2018
1900,S35861224,Great Horned Owl,Bubo virginianus,4/10/2017,6:06 PM,1,68,US-MO,38.6389068,-90.2853806,28,4,2017
2094,S35861224,Red-bellied Woodpecker,Melanerpes carolinus,4/10/2017,6:06 PM,1,68,US-MO,38.6389068,-90.2853806,28,4,2017
2172,S37773842,Downy Woodpecker,Dryobates pubescens,6/24/2017,11:52 AM,5,79,US-MO,38.5474,-90.4319,28,6,2017
2429,S37773842,Eastern Wood-Pewee,Contopus virens,6/24/2017,11:52 AM,1,79,US-MO,38.5474,-90.4319,28,6,2017
2492,S89277212,Eastern Phoebe,Sayornis phoebe,5/30/2021,10:49 AM,1,26,US-OK,35.6247298,-99.2497676,28,5,2021
2513,S37773842,Eastern Phoebe,Sayornis phoebe,6/24/2017,11:52 AM,1,79,US-MO,38.5474,-90.4319,28,6,2017
2581,S89277212,Great Crested Flycatcher,Myiarchus crinitus,5/30/2021,10:49 AM,2,26,US-OK,35.6247298,-99.2497676,28,5,2021
2590,S37773842,Great Crested Flycatcher,Myiarchus crinitus,6/24/2017,11:52 AM,1,79,US-MO,38.5474,-90.4319,28,6,2017
2648,S35861224,Eastern Kingbird,Tyrannus tyrannus,4/10/2017,6:06 PM,1,68,US-MO,38.6389068,-90.2853806,28,4,2017
2750,S45195604,Warbling Vireo,Vireo gilvus,5/2/2018,7:16 PM,1,28,US-MO,38.6219912,-90.275188,28,5,2018
2802,S37773842,Red-eyed Vireo,Vireo olivaceus,6/24/2017,11:52 AM,1,79,US-MO,38.5474,-90.4319,28,6,2017
2804,S18301776,Red-eyed Vireo,Vireo olivaceus,5/9/2014,8:40 AM,1,0,US-MO,38.6389068,-90.2853806,28,5,2014
2872,S37773842,Blue Jay,Cyanocitta cristata,6/24/2017,11:52 AM,1,79,US-MO,38.5474,-90.4319,28,6,2017
2926,S35861224,Blue Jay,Cyanocitta cristata,4/10/2017,6:06 PM,2,68,US-MO,38.6389068,-90.2853806,28,4,2017
2942,S49032262,Blue Jay,Cyanocitta cristata,10/7/2018,12:30 PM,1,60,US-MO,38.6383932,-90.267979,28,10,2018
3158,S37773842,Carolina Chickadee,Poecile carolinensis,6/24/2017,11:52 AM,8,79,US-MO,38.5474,-90.4319,28,6,2017
3185,S35861224,Carolina Chickadee,Poecile carolinensis,4/10/2017,6:06 PM,2,68,US-MO,38.6389068,-90.2853806,28,4,2017
3251,S66184860,Tufted Titmouse,Baeolophus bicolor,3/21/2020,4:36 PM,1,37,US-OK,36.0351169,-94.8112393,28,3,2020
3278,S37773842,Tufted Titmouse,Baeolophus bicolor,6/24/2017,11:52 AM,3,79,US-MO,38.5474,-90.4319,28,6,2017
3300,S35861224,Tufted Titmouse,Baeolophus bicolor,4/10/2017,6:06 PM,1,68,US-MO,38.6389068,-90.2853806,28,4,2017
3355,S45195604,Northern Rough-winged Swallow,Stelgidopteryx serripennis,5/2/2018,7:16 PM,3,28,US-MO,38.6219912,-90.275188,28,5,2018
3458,S45195604,Barn Swallow,Hirundo rustica,5/2/2018,7:16 PM,4,28,US-MO,38.6219912,-90.275188,28,5,2018
3466,S18301776,Barn Swallow,Hirundo rustica,5/9/2014,8:40 AM,6,0,US-MO,38.6389068,-90.2853806,28,5,2014
3510,S89277212,Cliff Swallow,Petrochelidon pyrrhonota,5/30/2021,10:49 AM,4,26,US-OK,35.6247298,-99.2497676,28,5,2021
